"Ekara_Site_Agent","Ekara_Robot","Robot_Severity",Count
"Paris (Orange)",PAROBS5903EAWP,ERR,4
"Paris (Orange)",PAROBS1701EAWP,WARN,34
"Paris (Orange)",PAROBS1501EAWP,WARN,27
"Paris (Orange)",PAROBS1501EAWP,ERR,6
"Paris (Orange)",PAROBS1602EAWP,WARN,33
"Paris (Orange)",PAROBS1704EAWP,WARN,28
"Paris (Orange)",PAROBS1704EAWP,ERR,7
"Paris (Orange)",PAROBS1004EAWP,WARN,26
"Paris (Orange)",PAROBS1004EAWP,ERR,8
"Paris (Orange)",PAROBS0604EAWP,ERR,11
"Paris (Orange)",PAROBS0604EAWP,WARN,23
"Paris (Orange)",PAROBS1802EAWP,WARN,30
"Paris (Orange)",PAROBS0901EAWP,ERR,9
"Paris (Orange)",PAROBS0901EAWP,WARN,25
"Paris (Orange)",PAROBS0903EAWP,WARN,30
"Paris (Orange)",PAROBS0903EAWP,ERR,4
"Paris (Orange)",PAROBS0804EAWP,WARN,27
"Paris (Orange)",PAROBS0804EAWP,ERR,4
"Paris (Orange)",PAROBS1503EAWP,WARN,26
"Paris (Orange)",PAROBS1503EAWP,ERR,3
"Paris (Orange)",PAROBS1703EAWP,WARN,22
"Paris (Orange)",PAROBS1703EAWP,ERR,6
"Paris (Orange)",PAROBS1702EAWP,ERR,10
"Paris (Orange)",PAROBS1702EAWP,WARN,18
"Paris (Orange)",PAROBS1603EAWP,WARN,22
"Paris (Orange)",PAROBS1603EAWP,ERR,5
"Paris (Orange)",PAROBS1002EAWP,WARN,26
"Paris (Orange)",PAROBS1502EAWP,WARN,22
"Paris (Orange)",PAROBS1502EAWP,ERR,4
"Paris (Orange)",PAROBS1401EAWP,ERR,9
"Paris (Orange)",PAROBS1401EAWP,WARN,15
"Paris (Orange)",PAROBS1901EAWP,WARN,23
"Paris (Orange)",PAROBS1801EAWP,ERR,9
"Paris (Orange)",PAROBS1801EAWP,WARN,16
"Paris (Orange)",PAROBS1902EAWP,WARN,20
"Paris (Orange)",PAROBS1902EAWP,ERR,3
"Paris (Orange)",PAROBS1201EAWP,WARN,19
"Paris (Orange)",PAROBS0803EAWP,WARN,19
"Paris (SFR)",PARSFR0139EAWP,WARN,106
"Paris (SFR)",PARSFR0139EAWP,ERR,7
"Paris (SFR)",PARSFR0120EAWP,WARN,85
"Paris (SFR)",PARSFR0004EAWP,WARN,76
"Paris (SFR)",PARSFR0004EAWP,ERR,5
"Paris (SFR)",PARSFR0113EAWP,WARN,81
"Paris (SFR)",PARSFR0113EAWP,ERR,3
"Paris (SFR)",PARSFR0112EAWP,WARN,67
"Paris (SFR)",PARSFR0112EAWP,ERR,12
"Paris (SFR)",PARSFR0147EAWP,WARN,64
"Paris (SFR)",PARSFR0105EAWP,WARN,57
"Paris (SFR)",PARSFR0105EAWP,ERR,4
"Paris (SFR)",PARSFR0101EAWP,WARN,63
"Paris (SFR)",PARSFR0102EAWP,WARN,50
"Paris (SFR)",PARSFR0102EAWP,ERR,8
"Paris (SFR)",PARSFR0146EAWP,WARN,53
"Paris (SFR)",PARSFR0150EAWP,ERR,19
"Paris (SFR)",PARSFR0150EAWP,WARN,31
"Paris (SFR)",PARSFR0097EAWP,ERR,21
"Paris (SFR)",PARSFR0097EAWP,WARN,30
"Paris (SFR)",PARSFR0145EAWP,WARN,48
"Paris (SFR)",PARSFR0111EAWP,WARN,45
"Paris (SFR)",PARSFR0118EAWP,WARN,42
"Paris (SFR)",PARSFR0118EAWP,ERR,5
"Paris (SFR)",PARSFR0108EAWP,WARN,35
"Paris (SFR)",PARSFR0108EAWP,ERR,8
"Paris (SFR)",PARSFR0002EAWP,WARN,38
"Paris (SFR)",PARSFR0002EAWP,ERR,5
"Paris (SFR)",PARSFR0098EAWP,WARN,36
"Paris (SFR)",PARSFR0098EAWP,ERR,4
"Paris (SFR)",PARSFR0122EAWP,WARN,37
"Paris (SFR)",PARSFR0122EAWP,ERR,3
"Paris (SFR)",PARSFR0116EAWP,WARN,38
"Paris (SFR)",PARSFR0134EAWP,WARN,32
"Paris (SFR)",PARSFR0134EAWP,ERR,6
"Paris (SFR)",PARSFR0132EAWP,WARN,26
"Paris (SFR)",PARSFR0132EAWP,ERR,10
"Paris (SFR)",PARSFR0129EAWP,ERR,9
"Paris (SFR)",PARSFR0129EAWP,WARN,28
"Paris (SFR)",PARSFR0001EAWP,WARN,30
"Paris (SFR)",PARSFR0001EAWP,ERR,5
"Paris (SFR)",PARSFR0136EAWP,WARN,31
"Paris (SFR)",PARSFR0136EAWP,ERR,5
"Paris (SFR)",PARSFR0107EAWP,WARN,26
"Paris (SFR)",PARSFR0107EAWP,ERR,8
"Paris (SFR)",PARSFR0125EAWP,WARN,26
"Paris (SFR)",PARSFR0125EAWP,ERR,8
"Paris (SFR)",PARSFR0109EAWP,WARN,35
"Paris (SFR)",PARSFR0135EAWP,ERR,9
"Paris (SFR)",PARSFR0135EAWP,WARN,23
"Paris (SFR)",PARSFR0123EAWP,WARN,32
"Paris (SFR)",PARSFR0123EAWP,ERR,4
"Paris (SFR)",PARSFR0121EAWP,WARN,27
"Paris (SFR)",PARSFR0121EAWP,ERR,7
"Paris (SFR)",PARSFR0140EAWP,WARN,31
"Paris (SFR)",PARSFR0140EAWP,ERR,3
"Paris (SFR)",PARSFR0003EAWP,WARN,30
"Paris (SFR)",PARSFR0003EAWP,ERR,3
"Paris (SFR)",PARSFR0128EAWP,WARN,29
"Paris (SFR)",PARSFR0128EAWP,ERR,5
"Paris (SFR)",PARSFR0141EAWP,WARN,33
"Paris (SFR)",PARSFR0141EAWP,ERR,7
"Paris (SFR)",PARSFR0100EAWP,WARN,25
"Paris (SFR)",PARSFR0100EAWP,ERR,6
"Paris (SFR)",PARSFR0104EAWP,ERR,9
"Paris (SFR)",PARSFR0104EAWP,WARN,24
"Paris (SFR)",PARSFR0124EAWP,ERR,10
"Paris (SFR)",PARSFR0124EAWP,WARN,22
"Paris (SFR)",PARSFR0117EAWP,ERR,11
"Paris (SFR)",PARSFR0117EAWP,WARN,20
"Paris (SFR)",PARSFR0137EAWP,ERR,9
"Paris (SFR)",PARSFR0137EAWP,WARN,25
"Paris (SFR)",PARSFR0131EAWP,WARN,26
"Paris (SFR)",PARSFR0131EAWP,ERR,5
"Paris (SFR)",PARSFR0144EAWP,WARN,30
"Paris (SFR)",PARSFR0103EAWP,WARN,26
"Paris (SFR)",PARSFR0103EAWP,ERR,5
"Paris (SFR)",PARSFR0142EAWP,WARN,26
"Paris (SFR)",PARSFR0142EAWP,ERR,5
"Paris (SFR)",PARSFR0115EAWP,ERR,7
"Paris (SFR)",PARSFR0115EAWP,WARN,22
"Paris (SFR)",PARSFR0114EAWP,ERR,9
"Paris (SFR)",PARSFR0114EAWP,WARN,21
"Paris (SFR)",PARSFR0126EAWP,WARN,28
"Paris (SFR)",PARSFR0126EAWP,ERR,4
"Paris (SFR)",PARSFR0005EAWP,WARN,29
"Paris (SFR)",PARSFR0110EAWP,WARN,27
"Paris (SFR)",PARSFR0127EAWP,WARN,25
"Paris (SFR)",PARSFR0127EAWP,ERR,5
"Paris (SFR)",PARSFR0149EAWP,ERR,7
"Paris (SFR)",PARSFR0149EAWP,WARN,19
"Paris (SFR)",PARSFR0143EAWP,WARN,24
"Paris (SFR)",PARSFR0133EHWP,WARN,19
"Paris (SFR)",PARSFR0133EHWP,ERR,5
"Paris (SFR)",PARSFR0138EAWP,WARN,20
"Paris (SFR)",PARSFR0119EAWP,WARN,18
"Paris (SFR)",PARSFR0119EAWP,ERR,3
"Paris (SFR)",PARSFR0106EAWP,WARN,18
"Paris (SFR)",PARSFR0006EAWP,WARN,17
"Madrid (Telefonica)",MADTEL0003EAWP,WARN,45
"Madrid (Telefonica)",MADTEL0003EAWP,ERR,11
"Madrid (Telefonica)",MADTEL2701EAWP,WARN,47
"Madrid (Telefonica)",MADTEL2701EAWP,ERR,10
"Madrid (Telefonica)",MADTEL2704EAWP,WARN,37
"Madrid (Telefonica)",MADTEL2704EAWP,ERR,5
"Madrid (Telefonica)",MADTEL0001EAWP,ERR,13
"Madrid (Telefonica)",MADTEL0001EAWP,WARN,17
"Madrid (Telefonica)",MADTEL0004EAWP,ERR,6
"Madrid (Telefonica)",MADTEL0004EAWP,WARN,18
"Madrid (Telefonica)",MADTEL2702EAWP,ERR,8
"Madrid (Telefonica)",MADTEL2702EAWP,WARN,15
